round,test_loss,test_accuracy,train_loss,train_acc,num_clients,round_duration
35,2.4973348786559284,37.03,2.4431876939190253,48.27456802904728,16,68.42625617980957
36,2.4255812500096576,37.34,2.4523224079765793,47.92862625547768,16,81.73659086227417
37,2.40395386611359,37.72,2.41551095844536,49.17740003630699,16,80.11402010917664
38,2.392126327828516,38.5,2.3786251918490278,50.26774757111313,16,65.51322317123413
39,2.336012413230123,39.69,2.335057795641305,51.71799301066768,16,85.77193021774292
40,2.369522650030595,38.54,2.334169268579391,52.20379848643461,16,72.94978308677673
41,2.3423722891867915,40.13,2.319113313867457,51.967678809261,16,69.64261484146118
42,2.3192072367366356,39.76,2.296500820242877,53.04278865779149,16,69.65394997596741
43,2.2518157008328017,41.5,2.292909811361331,52.48757451416178,16,83.39539289474487
44,2.215761398967308,41.69,2.2602739844443525,54.14219203074663,16,82.2067768573761
45,2.20630143262163,42.88,2.224348304834972,55.19243550951193,16,73.24978399276733
46,2.2122742722306072,42.2,2.2030946222641,56.30443167449966,16,75.92009592056274
47,2.169522344311581,44.29,2.2118185012999216,55.79716649800579,16,80.81341075897217
48,2.1723513316504564,43.13,2.204293363292784,55.608810880927045,16,81.05619931221008
49,2.184831205802628,42.76,2.1751494346067584,57.230376609865786,16,78.99006485939026
50,2.1569260494618474,44.26,2.186903590324135,56.11229247491366,16,79.02108526229858
51,2.1540133802196646,43.83,2.1430075899566496,57.55552466571176,16,73.1226749420166
52,2.131344182581841,44.66,2.1471284189354276,57.34694099753207,16,72.29127502441406
53,2.106081748310524,45.1,2.0887339856208365,59.48383804744687,16,70.07946300506592
54,2.1033612942393822,45.32,2.074816269019716,59.75657451024537,16,70.87732577323914
55,2.0616167104696927,45.77,2.076118084246035,59.41996895528921,16,80.40508580207825
56,2.0723897565769245,45.21,2.0535228665029845,60.46135212920634,16,71.29284501075745
57,2.0442878747288185,46.6,2.0456551589350456,61.01850609156349,16,70.90948820114136
58,2.0337900330748737,46.91,2.0650698322036347,59.90870408169576,16,70.91551613807678
59,2.0283898069888733,47.25,2.0131257933284745,62.04340122450088,16,73.17222905158997
60,2.0264429533028903,47.05,2.000902927331243,62.24182388017118,16,70.91746115684509
61,2.0164286863954763,47.52,1.9786573163574017,62.86370631634254,16,72.09187388420105
62,1.9401979567129402,48.84,2.0097394607653287,62.06979583644281,16,82.18213987350464
63,1.9277191162109375,48.97,1.9988679753044225,62.407989690732634,16,84.3168580532074
64,1.9436460944670666,49.2,1.9792437953369575,63.15457050525565,16,70.71738123893738
65,1.9357690569720691,48.79,1.9884886799375014,62.912570475047616,16,71.46631383895874
66,1.9267635179471365,49.59,1.9484077622911786,64.03494026978633,16,75.0745108127594
67,1.879102150096169,50.4,1.976611352202049,62.84731559198866,16,92.40993094444275
68,1.9083629016634784,50.02,1.9434001854000302,64.39718306224316,16,79.85092210769653
69,1.8885211054282853,50.68,1.9740057275183842,63.875885512386915,16,72.35553908348083
70,1.8386180612105358,51.08,1.9089498023967888,65.21914944670092,16,81.2899661064148
71,1.897139669973639,50.12,1.919443782476263,65.39827718744743,16,73.17930698394775
72,1.86901510968993,51.26,1.9057673342334918,65.69722231422847,16,72.07382774353027
73,1.8475086960611464,51.69,1.8750792284270354,66.43685022631513,16,70.05425381660461
74,1.8488670165025736,51.48,1.884527466586485,66.7760098719495,16,73.20476007461548
75,1.8107440124584149,51.86,1.877908972127493,66.27156377557328,16,86.57266879081726
76,1.8406594312643703,51.84,1.8879845167729474,66.24465258277857,16,74.18813896179199
77,1.8240302906760686,52.27,1.8370576538323506,67.7691266239341,16,73.20862007141113
78,1.8325754917120631,52.11,1.851340308521202,67.22572212512898,16,73.10781502723694
79,1.8048953240430807,52.75,1.826871616751963,68.14079127397532,16,69.54439401626587
80,1.8254915324947503,51.66,1.8177412863556301,68.48003051773706,16,70.8052499294281
81,1.7939259085474135,53.16,1.8060543751865104,68.85530335563863,16,71.71150708198547
82,1.7993078427978708,52.57,1.809717357020229,69.04933241181496,16,70.55967378616333
83,1.7796653992013087,53.25,1.8038540727880827,69.47305495194115,16,71.3650050163269
84,1.7625727683682986,54.25,1.7770454884761637,69.75756493714294,16,71.96735787391663
85,1.7625583908225917,53.73,1.7789263652077867,69.97318100783305,16,70.75800919532776
86,1.7573702033561995,54.41,1.77799089554891,69.77376500163395,16,69.81107902526855
87,1.757487485680399,54.08,1.7609192159228135,70.30596471618269,16,71.99912309646606
88,1.7051250421548192,54.81,1.771163492851112,69.87711222390433,16,81.36275696754456
89,1.7286323535291455,54.47,1.7530104248787324,70.60675300458834,16,66.36440801620483
90,1.6753543570071836,55.02,1.7415368990207991,71.54436153189599,16,85.3985390663147
91,1.6953569031968903,55.09,1.7334170446057762,71.25944252495823,16,79.56304907798767
92,1.7316761876963362,54.97,1.7269020005859068,71.97352670518985,16,70.4642128944397
93,1.7011554905130892,55.41,1.7071836201086563,72.66488816239503,16,71.14415574073792
94,1.6932120428809636,55.7,1.7089400725171238,72.4858703148573,16,66.90065574645996
95,1.6982193294959733,55.92,1.6969442521973381,72.45143495384899,16,61.99063277244568
96,1.6737626217588593,55.71,1.7062795436166898,71.75598395374539,16,77.22442317008972
97,1.6741314221032058,56.7,1.685579137353517,72.93692482716312,16,69.09024691581726
98,1.6469544338274607,56.52,1.692235436437497,72.84474748575872,16,81.70629978179932
99,1.6365437130384808,56.14,1.6817638207033787,73.3860377374422,16,77.62411999702454
100,1.629905973808675,56.99,1.7172933294423558,72.22591166467755,16,66.2954089641571
101,1.6115635392032093,57.3,1.651825831157465,74.0718064212681,16,78.97913813591003
102,1.6504112150095687,56.33,1.7100077323191134,73.183680091545,16,71.56331300735474
103,1.6165809359731553,57.1,1.6694238626624205,73.68759856611705,16,80.82066202163696
104,1.621330107314677,57.03,1.6904753037649338,73.60107192917468,16,65.26204800605774
105,1.636124091812327,56.94,1.6535009341457716,74.31935976711947,16,69.89678001403809
106,1.6223643007157724,58.02,1.5961354122358822,75.75825469222303,16,69.08695077896118
107,1.583696563032609,58.05,1.6269315797708435,75.50871521478429,16,81.49364924430847
108,1.6015869861916652,57.72,1.6304910436686777,75.27974074866376,16,81.47101902961731
109,1.613832123671906,57.6,1.6477474241426617,74.55521396889316,16,68.30932712554932
110,1.6085509876661663,57.68,1.6226709570158953,74.88757622656613,16,66.359708070755
111,1.6097832480563392,58.27,1.6094829482812527,76.31536172423773,16,69.85577178001404
112,1.5815003084231027,58.71,1.6145610446759833,75.99242595830626,16,66.68390202522278
113,1.5911245436608037,58.63,1.584698186197051,77.00033789845158,16,71.05655813217163
114,1.5801355702967583,58.79,1.5856304069274811,76.56072200237725,16,73.79758477210999
115,1.5846384703358518,58.74,1.5905454562255747,76.88964276666152,16,70.9498291015625
116,1.5455997835231732,59.41,1.5690893280939766,76.94390614543725,16,79.4600157737732
117,1.566289381135868,58.93,1.600687665021642,76.2444117594982,16,67.71107506752014
118,1.5644255016423478,59.44,1.5527299226922355,77.61162683506235,16,68.66381788253784
119,1.5500778608684298,60.21,1.5333015740172062,78.41887215521967,16,69.50273418426514
120,1.5543216813968708,59.74,1.5187765222248881,78.93186880435657,16,69.33165311813354
121,1.5387839757943456,60.21,1.5366216863905922,78.2338358117708,16,72.15140295028687
122,1.5210695749596705,59.95,1.531897017689857,78.06914010486497,16,79.38111615180969
123,1.53514172910135,59.72,1.5141055900647291,78.88381954859571,16,81.74202299118042
124,1.55634084079839,59.14,1.5407336350922751,77.89117265225532,16,66.76703214645386
125,1.5447909137870692,60.09,1.522580790659883,79.27156226616202,16,70.70713806152344
126,1.5557436460181127,59.54,1.5544802697849918,77.74408422318528,16,69.93009781837463
127,1.5110259508784813,60.96,1.5587519229816362,78.4303746423165,16,67.40271878242493
128,1.527133488956886,60.59,1.5282047715729756,78.60322021599987,16,66.66203117370605
129,1.5122410285321972,61.03,1.501148925269971,79.2506496531676,16,70.08592891693115
130,1.4978016539465022,61.17,1.463265344581746,80.89746641812006,16,83.05574774742126
131,1.4855712425859668,61.48,1.4951794137845185,79.68879089904233,16,83.68838596343994
132,1.5159616394887996,60.2,1.5106743854010938,79.35550678006298,16,67.50325083732605
133,1.514306738406797,61.1,1.489677187029624,80.23313369574154,16,71.33857989311218
134,1.4906370851057995,61.14,1.4876784115122919,80.1951884642331,16,68.57956624031067
135,1.5036833316464968,61.76,1.4978043362696198,79.48113931992671,16,69.7264518737793
136,1.5062807481500167,61.63,1.512662125603506,79.61630437590989,16,69.16104888916016
137,1.509552386742604,61.1,1.4872977047700273,79.98046185656477,16,67.208420753479
138,1.486426665813108,62.06,1.4782056082946688,80.48487050401062,16,71.35543012619019
139,1.4814314434799967,61.89,1.4479400358162924,81.34644078907414,16,68.1769449710846
140,1.4532790998869305,62.43,1.421461114243042,82.30283499143077,16,87.15185308456421
141,1.4732434900501106,62.14,1.461755754748699,81.01717089855256,16,67.93889904022217
142,1.4790668034855323,62.19,1.4480833098032253,81.49342041748218,16,70.75338768959045
143,1.4774031940894792,61.93,1.4540607039545674,81.3568932357309,16,70.81580972671509
144,1.4575581218622908,62.5,1.3962793349787659,83.28004349768348,16,85.37343120574951
145,1.4749104825756219,62.32,1.411570285506797,82.49997636332371,16,69.4923620223999
146,1.4812019701245465,61.94,1.4191728156881827,82.09860756475933,16,71.47185182571411
147,1.4593028282817406,62.84,1.438309704626377,81.52777497799313,16,73.74970412254333
148,1.441315770149231,62.7,1.3847300764265915,83.5672438356293,16,87.88079309463501
149,1.4692894265621523,62.09,1.400213388089067,83.42578414570184,16,84.57562708854675
150,1.4726589133467856,62.23,1.4479585138294029,81.21986799970773,16,70.92563319206238
